OID_,OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,FROM_X,FROM_Y,NEAR_X,NEAR_Y,NEAR_ANGLE
52,0,2,9,44.479210502378045,9,-121.800571617999992,36.831556904000024,-121.800213659999940,36.831835915000056,45.882935908421423
53,0,2,11,46.742943664424658,10,-121.800571617999992,36.831556904000024,-121.800055386999986,36.831484738000029,99.865147055811477
54,0,2,13,51.316550381331496,11,-121.800571617999992,36.831556904000024,-121.800063438999985,36.831340214000079,117.943464582408566
55,0,2,22,54.438208428941628,12,-121.800571617999992,36.831556904000024,-121.800303234999944,36.831997463000050,26.090829606240376
56,0,2,18,58.388475125689801,13,-121.800571617999992,36.831556904000024,-121.800016068999980,36.831835098000056,58.079339217343303
57,0,2,15,59.957118170105559,14,-121.800571617999992,36.831556904000024,-121.799910779999948,36.831458383000040,100.506605704674570
58,0,2,10,60.649281535684814,15,-121.800571617999992,36.831556904000024,-121.799892975999967,36.831524120000040,93.438881294838396
59,0,2,14,61.780854554947325,16,-121.800571617999992,36.831556904000024,-121.799907325999982,36.831399499000042,106.423625220883963
60,0,2,21,61.810717887092586,17,-121.800571617999992,36.831556904000024,-121.800132053999960,36.831987456000036,39.374928938951754
61,0,2,23,68.470872447337754,18,-121.800571617999992,36.831556904000024,-121.800428389999979,36.832163063000053,10.754656351848739
62,0,2,40,68.703133901328655,19,-121.800571617999992,36.831556904000024,-121.800783730999967,36.832152050000047,-15.986815373091780
63,0,2,30,72.199271492657587,20,-121.800571617999992,36.831556904000024,-121.800589418999948,36.832207340000025,-1.260281571350238
64,0,2,17,72.568117879694867,21,-121.800571617999992,36.831556904000024,-121.799830493999991,36.831826499000044,65.651823388287326
65,0,2,19,73.023047481263006,22,-121.800571617999992,36.831556904000024,-121.799908506999941,36.831942713000046,54.103422640216706
66,0,2,41,75.894527671747340,23,-121.800571617999992,36.831556904000024,-121.800888380999993,36.832191625000064,-21.859089550433698
67,0,2,44,76.187051710039071,24,-121.800571617999992,36.831556904000024,-121.800714203999974,36.832233796000025,-9.610700110620368
68,0,2,16,76.336044361553391,25,-121.800571617999992,36.831556904000024,-121.799732377999987,36.831422590000045,101.259700098361421
69,0,2,26,79.739057925529352,26,-121.800571617999992,36.831556904000024,-121.800259250999943,36.832230137000067,20.454033661657622
70,0,2,31,82.638172191233963,27,-121.800571617999992,36.831556904000024,-121.800675622999961,36.832296855000038,-6.446301538212955
71,0,2,20,84.361898933230222,28,-121.800571617999992,36.831556904000024,-121.799866302999988,36.832063299000026,48.229861347561815
72,0,2,24,84.758334724515379,29,-121.800571617999992,36.831556904000024,-121.800100228999952,36.832220040000038,29.744277609419306
73,0,2,25,85.132509410037912,30,-121.800571617999992,36.831556904000024,-121.800155208999968,36.832247159000076,25.870448081534789
74,0,2,33,90.040901326053159,31,-121.800571617999992,36.831556904000024,-121.800502569999992,36.832366369000056,3.922569634386857
75,0,2,32,91.758477151906106,32,-121.800571617999992,36.831556904000024,-121.800602299999980,36.832383379000078,-1.709314109261371
76,0,2,34,92.265497554800547,33,-121.800571617999992,36.831556904000024,-121.800380094999980,36.832373937000057,10.671252444461999
77,0,2,35,97.307224593681255,34,-121.800571617999992,36.831556904000024,-121.800452905999975,36.832428539000034,6.247845783214396
78,0,2,39,102.382287298981069,35,-121.800571617999992,36.831556904000024,-121.800633795999943,36.832478124000033,-3.105589477630353
79,0,2,38,104.115135435060722,36,-121.800571617999992,36.831556904000024,-121.800782681999976,36.832479625000076,-10.418754480858054
80,0,2,36,107.658921380673291,37,-121.800571617999992,36.831556904000024,-121.800443394999945,36.832521536000058,6.098957189595596
81,0,2,42,110.342098192236392,38,-121.800571617999992,36.831556904000024,-121.801293592999968,36.832364255000073,-35.710131310126584
82,0,2,27,112.907581545999321,39,-121.800571617999992,36.831556904000024,-121.800237310999989,36.832538191000026,15.315303852808082
83,0,2,43,115.561732404211668,40,-121.800571617999992,36.831556904000024,-121.800893339999959,36.832565615000078,-14.379857088221964
84,0,2,37,120.601918782000979,41,-121.800571617999992,36.831556904000024,-121.800589346999971,36.832643564000080,-0.751382342659241
85,0,2,29,125.747358792340393,42,-121.800571617999992,36.831556904000024,-121.800316864999957,36.832671365000067,10.411941592944112
